trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
389,False,"{'a': 0.45, 'e': 0.9252887857545801}",30,0,-147.67025959782117,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
390,False,"{'a': 0.45, 'e': 0.9249090598573131}",25,0,-45.601046705666164,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
391,False,"{'a': 0.45, 'e': 0.9245284090510633}",25,0,-171.09891238251268,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
392,False,"{'a': 0.45, 'e': 0.9241468337164814}",25,0,-164.68334310004286,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
393,False,"{'a': 0.45, 'e': 0.9237643342351428}",20,0,-13.272127935295101,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
394,False,"{'a': 0.45, 'e': 0.9233809109895471}",20,6,-28.991414111328332,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
395,False,"{'a': 0.45, 'e': 0.9229965643631173}",20,0,-71.8309303600497,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
396,False,"{'a': 0.45, 'e': 0.9226112947402}",25,0,-55.99907090312803,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
397,False,"{'a': 0.45, 'e': 0.9222251025060648}",20,0,-72.68587822094547,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
398,False,"{'a': 0.45, 'e': 0.9218379880469041}",20,4,-62.61831680299438,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
399,False,"{'a': 0.45, 'e': 0.921449951749832}",30,0,-167.81827624717133,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
400,False,"{'a': 0.45, 'e': 0.9210609940028851}",25,0,-122.83682404576837,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
401,False,"{'a': 0.45, 'e': 0.9206711151950209}",20,12,-0.40112835792374035,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.45, 'e': 0.9202803157161181}",20,0,-102.10432280241419,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
403,False,"{'a': 0.45, 'e': 0.9198885959569765}",30,1,-160.48695459574412,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 3}",1
404,False,"{'a': 0.45, 'e': 0.9194959563093155}",20,0,-163.8549412982668,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
405,False,"{'a': 0.45, 'e': 0.9191023971657747}",20,0,-127.27525496652552,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
406,False,"{'a': 0.45, 'e': 0.9187079189199134}",20,14,-0.8346276193690165,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
407,False,"{'a': 0.45, 'e': 0.9183125219662098}",20,0,-66.30809703023925,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
408,False,"{'a': 0.45, 'e': 0.9179162067000607}",30,0,-31.416682280042693,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
409,False,"{'a': 0.45, 'e': 0.9175189735177814}",25,14,-6.656237386322662,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
410,False,"{'a': 0.45, 'e': 0.9171208228166051}",25,0,-78.35520142939515,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 0}",0
411,False,"{'a': 0.45, 'e': 0.9167217549946823}",20,0,-185.8011969825703,"{0: 12, 1: 0, 2: 2, 3: 3, 4: 3}",1
412,False,"{'a': 0.45, 'e': 0.916321770451081}",20,0,-98.62736938634951,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
